"","Species","mean_slope","ci_lower","ci_upper","slope_var","n_gardens","temp_min","temp_max","temp_mean","n_data"
"67","Geum rivale",-23.2188747590654,-49.3750491490497,0.761635294719756,159.583394657153,6,8.641666667,12.175,10.8043650791905,21
"68","Geum urbanum",-6.06742244168791,-12.4367506420325,12.2232127860592,36.2773124361826,5,10.65833333,16.24166667,12.02447916625,16
"69","Globularia cordifolia",10.1539626634564,-13.1594395569251,22.0412644383707,72.8579757266066,6,4.691666667,12.175,10.1116666657,10
"70","Glycyrrhiza glabra",-6.6673051929503,-32.6154173257427,6.77957742940508,95.7360252990645,6,8.641666667,16.24166667,11.0858024686296,27
"71","Gratiola officinalis",4.86143480338305,-18.1177782276584,31.3963748047459,152.41796469524,6,9.583333333,12.43333333,11.0288461533077,26
"72","Helianthemum nummularium",-4.99574028473386,-20.5618654699052,5.48227335972192,53.6547676357279,10,4.175,16.24166667,10.9746794867692,26
"73","Helichrysum arenarium",-22.3114376984306,-50.1726683175114,10.51508216423,253.702166090647,4,9.85,11.575,10.7108974356154,13
"74","Helleborus niger",28.2067225098981,-9.38763830945414,71.7435887088531,335.780051049136,4,8.641666667,11.76666667,10.7401515151818,11
"75","Helleborus orientalis",-37.4189286150441,-82.687375441423,4.91223312809372,541.083544633955,3,8.641666667,11.91666667,10.54652777775,12
"76","Helleborus viridis",4.3659077031466,-29.5600745443296,30.3542117710944,230.15755990724,3,9.583333333,12.79166667,11.3944444444167,12
"77","Hemerocallis fulva",-0.264368326080536,-11.3339626199692,8.13309947792556,27.7513471418119,9,4.691666667,15.78333333,10.6279761903571,28
"78","Hibiscus moschatus",3.35839338331545,-7.66084567831764,18.4101049196373,42.1302045451798,5,8.641666667,12.79166667,11.0534090901364,22
"79","Humulus lupulus",7.41295261876953,-3.98369029360094,27.5002114965762,59.9947356866669,10,5.541666667,15.38333333,11.1197222217667,30
"80","Hydrocotyle vulgaris",-5.81169635467415,-41.6288706927477,8.68228846987968,158.196553601295,3,8.641666667,11.76666667,10.8196969688182,11
"81","Hypericum olympicum",-8.49850332239659,-29.0664064916148,15.8932377165651,121.355855218839,3,8.641666667,12.175,10.70833333275,12
"82","Hypericum perforatum",-6.76402543012294,-17.7335761332501,24.5440728613111,105.550272609994,9,9.583333333,16.24166667,11.4956790120741,27
"83","Iberis sempervirens",-10.3668799642444,-22.9752349135013,31.4528033419262,155.769046036058,5,9.583333333,16.24166667,11.4077777770667,15
"84","Iris pseudacorus",4.37589713601253,-0.466744069432983,14.5745658156176,17.1574556817353,10,3.583333333,15.50833333,10.4551282049231,39
"85","Lamium album",-0.49122078880771,-23.1579173509966,18.0983689522352,146.032856253843,5,9.583333333,12.175,10.9424603169524,21
"86","Lathyrus vernus",9.88350016017347,-2.53243201877173,27.9163217003947,51.1879251676466,11,3.583333333,12.79166667,10.4048148146444,45
"87","Lavandula angustifolia",1.90031031512861,-12.9674734194831,25.1290344786903,89.5001740889756,9,4.833333333,16.24166667,10.8397435894615,26
"88","Leonurus cardiaca",-11.7222922840724,-51.255588451131,13.3929319082432,251.758395500831,8,9.583333333,16.24166667,11.3886904759286,28
"89","Leucanthemum vulgare",1.41595654806122,-6.95823280391586,9.57282497361217,25.074286873068,5,4.858333333,16.24166667,11.3416666669091,11
"90","Leucojum aestivum",-0.679390311970318,-14.9578281128496,74.6023637238669,444.746325844547,3,10.15,16.24166667,11.675,10
"91","Leucojum vernum",1.3164514793756,-12.9240704044974,5.78849163611652,23.9398854519184,7,4.833333333,12.79166667,10.821875000125,24
"92","Linum perenne",-0.858167920160393,-26.8648457284401,10.6014298601181,94.6352998634991,5,4.691666667,16.24166667,10.9624999998333,18
"93","Lotus maritimus",16.1203049050833,-11.9728749029988,39.9084465603678,151.715410509768,3,8.641666667,12.43333333,10.8076388875,12
"94","Lunaria rediviva",13.5634732027319,-12.2139343988012,43.6434361523873,143.033053257809,5,4.833333333,12.79166667,11.0454166663,20
"95","Lupinus polyphyllus",46.0436823126326,3.91525333739856,114.614255346298,841.347983549135,4,10.375,12.175,11.3424242427273,11
"96","Lysichiton americanus",37.3482904619339,-134.630120896839,140.622889773682,5476.63016132613,4,11.18333333,11.91666667,11.581666667,10
"97","Lysichiton camtschatcensis",59.7036564053773,39.9673944014502,85.9562370651581,141.514473084203,4,8.641666667,11.91666667,10.74708333315,20
"98","Menyanthes trifoliata",-10.9558921107163,-35.9209212215956,10.7312667692229,120.197818479469,8,8.641666667,15.36666667,11.2252604163437,32
"99","Mercurialis perennis",-1.60539899833095,-13.2760660908041,7.11538874774676,26.9107474915687,6,4.833333333,15.50833333,11.5692708333125,16
"100","Narcissus pseudonarcissus",4.03297197721153,-14.5059094661875,8.54606675011808,30.2541747429335,4,4.833333333,11.91666667,10.3812500001875,16
"101","Oxalis acetosella",22.1625549325796,7.57444079838283,37.9607917057792,80.4074642758132,4,4.833333333,12.43333333,10.3314102563846,13
"102","Paeonia delavayi",5.0030206756972,-16.2526283114086,23.0176977602743,96.9964830421498,4,8.641666667,12.79166667,10.9652777773889,18
"103","Paeonia officinalis",-6.38864824230293,-25.4396077558014,9.86779526966821,84.5227625501403,7,8.641666667,12.79166667,11.1047619043929,28
"104","Paeonia peregrina",0.541956850519464,-16.4314017747303,18.5105938069832,71.3343897414107,6,8.641666667,12.43333333,10.946180555125,24
"105","Paris quadrifolia",9.2133876890708,-5.57117139892024,12.3903622703959,15.2609628713139,5,4.691666667,12.79166667,10.4147058821765,17
"106","Petasites hybridus",0.20088207576578,-8.90202726960418,12.8535456629775,28.5714986797594,2,8.641666667,11.91666667,10.5333333327273,11
"107","Phlomis russeliana",-15.3128365066134,-52.9851126351623,21.7849542071966,349.255956523483,6,8.641666667,12.79166667,11.0166666666522,23
"108","Plantago lanceolata",-1.54979167413645,-28.8751485429178,42.0858728659441,326.486035045219,12,8.641666667,15.78333333,11.2219512193415,41
